AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,14:34:30,866579,799345,8.076,48,34,0,100,3308,,,
7/10/14,14:35:00,866649,799329,8.086,48,34,0,100,2385,,,
7/10/14,14:35:30,866592,799238,8.091,48,34,0,100,1138,,,
7/10/14,14:36:00,866531,799133,8.097,48,33,0,100,1443,,,
7/10/14,14:36:30,866603,799157,8.102,48,33,0,100,1256,,,
7/10/14,14:37:00,866648,799166,8.106,49,33,0,100,943,,,
7/10/14,14:37:30,866634,799064,8.118,49,33,0,100,2585,,,
7/10/14,14:38:00,866572,798914,8.129,48,33,0,100,2750,,,
7/10/14,14:38:30,866658,798830,8.15,48,33,0,100,4837,,,
7/10/14,14:39:00,866633,798710,8.162,48,33,0,100,2873,,,
7/10/14,14:39:30,866685,798679,8.172,48,33,0,100,2339,,,
7/10/14,14:40:00,866629,798504,8.187,48,33,0,100,3657,,,
7/10/14,14:40:30,866619,798455,8.192,48,33,0,100,1179,,,
7/10/14,14:41:00,866756,798552,8.196,48,33,0,100,866,,,
7/10/14,14:41:30,866715,798465,8.202,48,33,0,100,1459,,,
7/10/14,14:42:00,866682,798293,8.22,48,33,0,100,4198,,,
7/10/14,14:42:30,866746,798279,8.229,48,34,0,100,2163,,,
7/10/14,14:43:00,866720,798250,8.229,48,34,0,100,150,,,
7/10/14,14:43:30,866757,798272,8.231,48,34,0,100,358,,,
7/10/14,14:44:00,866695,798184,8.235,48,34,0,100,916,,,
7/10/14,14:44:30,866703,797670,8.3,48,34,0,100,15464,,,
7/10/14,14:45:00,866773,797703,8.304,48,34,0,100,932,,,
7/10/14,14:45:30,866742,797568,8.317,48,34,0,100,3159,,,
7/10/14,14:46:00,866782,797571,8.322,49,34,0,100,983,,,
7/10/14,14:46:30,866772,797548,8.323,48,34,0,100,409,,,
7/10/14,14:47:00,866706,797418,8.332,49,34,0,100,2014,,,
7/10/14,14:47:30,866732,797404,8.337,48,34,0,100,1125,,,
7/10/14,14:48:00,866736,797380,8.34,48,34,0,100,822,,,
7/10/14,14:48:30,866664,797245,8.349,48,34,0,100,2041,,,
7/10/14,14:49:00,866648,797153,8.359,49,34,0,100,2247,,,
7/10/14,14:49:30,866622,797095,8.363,48,34,0,100,1012,,,
7/10/14,14:50:00,866660,797103,8.366,48,34,0,100,800,,,
7/10/14,14:50:30,866636,797049,8.37,48,34,0,100,948,,,
7/10/14,14:51:00,866667,797039,8.375,48,35,0,100,1143,,,
7/10/14,14:51:30,866636,796978,8.379,48,35,0,100,965,,,
7/10/14,14:52:00,866646,796952,8.384,48,35,0,100,1045,,,
7/10/14,14:52:30,866622,796887,8.389,48,35,0,100,1275,,,
7/10/14,14:53:00,866647,796854,8.396,48,35,0,100,1663,,,
7/10/14,14:53:30,866678,796831,8.402,48,35,0,100,1530,,,
7/10/14,14:54:00,866653,796753,8.409,48,35,0,100,1634,,,
7/10/14,14:54:30,866644,796686,8.417,48,35,0,100,1744,,,
7/10/14,14:55:00,866623,796612,8.424,48,35,0,100,1625,,,
7/10/14,14:55:30,866572,796499,8.432,48,35,0,100,1965,,,
