time [s],NN_interval [s/256](/api/datatype/318/)
19371.2734375,257
19373.3671875,262
19375.2734375,250
19377.4140625,277
19378.44140625,263
19379.47265625,264
19380.5625,279
19381.63671875,275
19383.58203125,252
19386.78125,268
19388.68359375,247
19390.73828125,260
19392.66796875,257
19394.78125,263
19396.66015625,244
19398.4765625,226
19399.3671875,228
19400.26953125,231
19401.125,219
19402.03125,232
19403.0,248
19403.9921875,254
19404.8984375,232
19406.7578125,250
19408.84375,263
19410.67578125,236
19412.640625,258
19413.56640625,237
19414.55078125,252
19416.6171875,263
19418.53515625,252
19420.51953125,256
19421.4375,235
19422.41796875,251
19424.48828125,268
19425.4375,243
19426.44921875,259
19428.51171875,260
19430.44140625,257
19432.5703125,273
19436.44921875,251
19437.41796875,248
19438.47265625,270
19440.609375,261
19442.5234375,247
19444.44921875,242
19445.34765625,230
19446.328125,251
19448.453125,274
19452.48046875,269
19454.40234375,249
19456.50390625,273
19457.46484375,246
19459.33203125,243
19460.2421875,233
19461.1171875,224
19461.9453125,212
19462.8359375,228
19464.84765625,262
19465.8203125,249
19467.73046875,254
19469.71875,249
19471.55078125,237
19472.4765625,237
19473.390625,234
19474.265625,224
19475.1796875,234
19476.12109375,241
19477.046875,237
19478.02734375,251
19480.20703125,272
19482.28515625,272
19483.34375,271
19484.41015625,273
19485.328125,235
19489.2109375,243
19491.078125,250
19493.1953125,268
19495.2890625,278
19496.36328125,275
19501.375,257
19503.26953125,247
19505.23046875,247
19506.13671875,232
19507.0859375,243
19509.11328125,263
19510.078125,247
19511.046875,248
19512.03515625,253
19513.09765625,272
19514.125,263
19516.07421875,257
19518.23828125,272
19520.2109375,263
19522.9375,226
19523.7890625,218
19524.6640625,224
19525.63671875,249
19526.6484375,259
19529.37109375,236
19530.3359375,247
19531.2421875,232
19533.03515625,240
19535.0390625,257
19536.89453125,243
19538.8828125,256
19539.8046875,236
19540.80859375,257
19542.7890625,243
19544.546875,230
19546.46875,255
19547.40625,240
19549.3828125,260
19550.46875,278
19551.4375,248
19553.375,250
19554.41015625,265
19555.390625,251
19557.31640625,256
19559.4453125,278
19560.4140625,248
19567.80078125,284
19570.41015625,198
19572.96484375,222
19573.84765625,226
19574.6640625,209
19575.4375,198
19576.24609375,207
19577.9765625,221
19578.83984375,221
19579.765625,237
19580.6484375,226
19581.53125,226
19582.421875,228
19583.2734375,218
19584.1875,234
19586.30859375,286
19587.3671875,271
19589.28515625,234
19590.265625,251
19592.390625,267
19594.3046875,252
19596.3203125,257
19597.2890625,248
19598.234375,242
19599.140625,232
19600.12109375,251
19602.21875,280
19603.33203125,285
19606.03125,218
19606.88671875,219
19607.8046875,235
19614.1328125,320
19615.3359375,308
19616.49609375,297
19617.5703125,275
19618.5546875,252
19619.4453125,228
19620.296875,218
19621.16015625,221
19627.62109375,332
19628.83984375,312
19629.94140625,282
19630.96484375,262
19631.94140625,250
19632.90625,247
19633.85546875,243
19634.828125,249
19635.875,268
19646.80859375,289
19647.84375,265
19648.76171875,235
19649.6328125,223
19650.48046875,217
19651.328125,217
19652.1796875,218
19653.05078125,223
19654.0390625,253
19656.4140625,317
19659.43359375,238
19803.3671875,266
19804.3203125,244
19805.54296875,313
19808.2890625,229
19810.1484375,243
19810.98046875,213
19813.69140625,237
19814.60546875,234
19815.41796875,208
19816.2734375,219
20152.3671875,219
20153.25390625,227
20154.19921875,242
20155.09375,229
20156.80078125,221
20157.67578125,224
20158.53125,219
20159.328125,204
20160.1640625,214
20161.02734375,221
20161.84765625,210
20162.61328125,196
20163.38671875,198
20164.17578125,202
20165.01171875,214
20165.9140625,231
20166.8359375,236
20167.71484375,225
20169.40625,224
20171.23828125,234
20196.31640625,236
20197.15625,215
20198.03515625,225
20199.890625,241
20200.765625,224
20201.703125,240
