time [s],inspiration_epoch [na] (/api/datatype/34/)
12061.00000000,16203
12067.00000000,16205
12070.00000000,16203
12075.00000000,16255
12094.00000000,16255
12104.00000000,16241
12112.00000000,16193
12123.00000000,16243
12133.00000000,16186
12138.00000000,16204
12160.00000000,16192
12171.00000000,16189
12191.00000000,16194
12199.00000000,16193
12214.00000000,16194
12229.00000000,16204
12240.00000000,16197
12247.00000000,16195
12253.00000000,16194
12259.00000000,16198
12272.00000000,16217
12277.00000000,16214
12289.00000000,16169
12297.00000000,16171
12301.00000000,16194
12307.00000000,16109
12315.00000000,16109
12319.00000000,16118
12321.00000000,16096
12324.00000000,16097
12330.00000000,16093
12336.00000000,16100
12339.00000000,16104
12342.00000000,16104
12343.00000000,16104
12352.00000000,16093
12355.00000000,16093
12359.00000000,16096
12362.00000000,16100
12365.00000000,16084
12370.00000000,16085
12373.00000000,16096
12378.00000000,16091
12380.00000000,16091
12382.00000000,16090
12387.00000000,16099
12388.00000000,16100
12390.00000000,16098
12392.00000000,16117
12393.00000000,16115
12395.00000000,16137
12398.00000000,16091
12399.00000000,16098
12406.00000000,16213
12416.00000000,16189
12419.00000000,16184
12422.00000000,16192
12426.00000000,16186
12431.00000000,16204
12471.00000000,16187
12476.00000000,16190
12491.00000000,16177
12499.00000000,16191
12506.00000000,16189
12527.00000000,16133
12535.00000000,16148
12540.00000000,16152
12546.00000000,16108
12550.00000000,16099
12559.00000000,16091
12564.00000000,16088
12574.00000000,16087
12582.00000000,16091
12589.00000000,16092
12601.00000000,16091
12605.00000000,16104
12610.00000000,16096
12614.00000000,16095
12621.00000000,16092
12624.00000000,16100
12629.00000000,16114
12635.00000000,16135
12637.00000000,16108
12640.00000000,16109
12642.00000000,16112
12644.00000000,16118
12646.00000000,16112
12649.00000000,16112
12650.00000000,16117
12652.00000000,16111
12654.00000000,16103
12655.00000000,16117
12658.00000000,16193
12659.00000000,16195
12664.00000000,16202
12712.00000000,16184
12736.00000000,16192
12743.00000000,16245
12749.00000000,16229
12776.00000000,16189
12781.00000000,16199
12786.00000000,16191
12804.00000000,16201
12814.00000000,16189
12824.00000000,16192
12839.00000000,16183
12848.00000000,16187
12865.00000000,16179
12896.00000000,16172
12904.00000000,16182
12917.00000000,16200
12922.00000000,16187
12927.00000000,16185
12937.00000000,16185
12944.00000000,16187
12949.00000000,16182
12952.00000000,16182
12957.00000000,16182
12968.00000000,16183
12979.00000000,16182
12988.00000000,16182
12994.00000000,16182
12999.00000000,16180
13004.00000000,16180
13029.00000000,16180
13041.00000000,16180
13056.00000000,16178
13063.00000000,16185
13072.00000000,16179
13079.00000000,16176
13088.00000000,16172
13097.00000000,16178
13106.00000000,16181
13112.00000000,16181
13120.00000000,16179
13124.00000000,16177
13130.00000000,16176
13133.00000000,16176
13136.00000000,16175
13138.00000000,16174
13142.00000000,16174
13145.00000000,16173
13148.00000000,16174
13151.00000000,16174
13156.00000000,16185
13181.00000000,16166
13184.00000000,16165
13187.00000000,16165
13191.00000000,16165
13197.00000000,16164
13200.00000000,16164
13204.00000000,16164
13209.00000000,16163
13211.00000000,16163
13220.00000000,16163
13223.00000000,16164
13231.00000000,16166
13237.00000000,16175
13244.00000000,16174
13250.00000000,16167
13255.00000000,16166
13260.00000000,16166
13263.00000000,16167
13266.00000000,16167
13269.00000000,16167
13272.00000000,16166
13277.00000000,16167
13281.00000000,16167
13283.00000000,16167
13289.00000000,16167
13295.00000000,16165
13298.00000000,16165
13301.00000000,16165
13307.00000000,16165
13310.00000000,16165
13313.00000000,16165
13318.00000000,16172
13324.00000000,16170
13332.00000000,16169
13336.00000000,16169
13340.00000000,16188
13343.00000000,16184
13357.00000000,16181
13364.00000000,16177
13371.00000000,16143
13379.00000000,16137
13388.00000000,16143
13398.00000000,16153
13409.00000000,16150
13414.00000000,16150
13446.00000000,16140
13455.00000000,16152
13463.00000000,16135
13471.00000000,16130
13478.00000000,16177
13484.00000000,16172
13493.00000000,16166
13503.00000000,16163
13517.00000000,16144
13526.00000000,16141
13535.00000000,16142
13542.00000000,16142
13548.00000000,16141
13554.00000000,16141
13559.00000000,16141
13562.00000000,16142
13567.00000000,16139
13574.00000000,16135
13580.00000000,16172
13585.00000000,16168
13601.00000000,16161
13608.00000000,16149
13618.00000000,16149
13621.00000000,16148
13637.00000000,16146
13644.00000000,16145
13650.00000000,16144
13675.00000000,16164
13685.00000000,16157
13705.00000000,16161
13728.00000000,16178
13735.00000000,16168
13755.00000000,16185
13766.00000000,16156
13796.00000000,16152
13805.00000000,16152
13810.00000000,16129
13822.00000000,16134
13833.00000000,16134
13849.00000000,16136
13856.00000000,16133
13868.00000000,16178
13873.00000000,16173
13913.00000000,16191
13921.00000000,16182
13928.00000000,16180
13965.00000000,16173
